cell_type,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
B cells,IGHD,33.91447,11.029205,4.076703929259896e-252,3.1571653548431045e-249,0.47785787847579814,0.005879019691174387
B cells,LINC00926,33.85786,9.326442,2.7804722406731588e-251,2.1174222936806327e-248,0.48043254376931,0.01027057656891911
CD4 T conv,TRAC,31.003525,4.894212,4.831993587323859e-211,2.2078345099200178e-206,0.9539295392953929,0.6648129423660263
CD4 T conv,TRBC2,22.312805,3.5657794,2.7753260162934716e-110,6.340509816824065e-106,0.9832881662149955,0.7908421204680052
CD4 T conv,CD2,19.972244,3.18106,9.604103078389979e-89,1.4627689261926496e-84,0.8319783197831978,0.6117290192113246
CD4 T conv,CD3G,19.776047,3.3064923,4.787884461318106e-87,5.469200420163672e-83,0.9060523938572719,0.6562184024266936
CD4 T conv,CD3E,19.05181,2.5372179,6.346927356071506e-81,5.800076095072384e-77,0.8667570009033424,0.6280514227935866
CD4 T conv,IGHV1OR15-1,18.857912,4.8752127,2.530200242897738e-79,1.926831824974724e-75,0.2940379403794038,0.05048389426549184
CD4 T conv,CD3D,18.614557,3.2819655,2.4487622568563352e-77,1.5984120720039953e-73,0.8008130081300813,0.5809620106890077
CD4 T conv,IL32,17.539982,3.326582,7.095043325509581e-69,3.602074662546486e-65,0.8766937669376694,0.6664740719341326
CD4 T conv,TRAV8-3,15.670444,4.411702,2.4089297807872933e-55,8.466832272594847e-52,0.23938572719060525,0.033728152535028165
CD4 T conv,LCK,15.585808,2.5767698,9.090680939039884e-55,2.9669385247615025e-51,0.7416440831074977,0.5587173190813232
CD4 T conv,SPOCK2,14.37388,1.990391,7.548061539198062e-47,1.567663762950172e-43,0.6594399277326106,0.4923443593817709
CD4 T conv,FYB,14.096565,1.7432836,3.9870605264615654e-45,7.590698732295077e-42,0.8626919602529358,0.7193413260147336
CD4 T conv,TMEM66,13.793324,1.2378997,2.795724989051503e-43,4.731195044434862e-40,0.9227642276422764,0.8820598006644518
