Symbol,Manning_Name,Group,Family,SubFamily,UniProtID,Entrez,Synonyms,Kinase_Name,found,needs_denovo_design
TRPM6,ChaK2,Atypical,Alpha,ChaK,Q9BX84,140803,CHAK2,Transient receptor potential cation channel subfamily M member 6,True,False
TRPM7,ChaK1,Atypical,Alpha,ChaK,Q96QT4,54822,CHAK1 LTRPC7,Transient receptor potential cation channel subfamily M member 7,True,False
BAZ1A,BAZ1A,Atypical,BAZ,,Q9NRL2,11177,ACF1 WCRF180,Bromodomain adjacent to zinc finger domain protein 1A,True,False
BAZ1B,BAZ1B,Atypical,BAZ,,Q9UIG0,9031,WBSC10 WBSCR10 WBSCR9 WSTF,Tyrosine-protein kinase BAZ1B,True,False
ABR,ABR,Atypical,BCR,,Q12979,29,,Active breakpoint cluster region-related protein,True,False
BCR,BCR,Atypical,BCR,,P11274,613,BCR1 D22S11,Breakpoint cluster region protein,True,False
BLVRA,BLVRA,Atypical,BLVRA,,P53004,644,BLVR BVR,Biliverdin reductase A,True,False
BRD2,BRD2,Atypical,BRD,,P25440,6046,KIAA9001 RING3,Bromodomain-containing protein 2,True,False
BRD3,BRD3,Atypical,BRD,,Q15059,8019,KIAA0043 RING3L,Bromodomain-containing protein 3,True,False
BRD4,BRD4,Atypical,BRD,,O60885,23476,HUNK1,BRD4 protein,True,False
BRDT,BRDT,Atypical,BRD,,Q58F21,676,,Bromodomain testis-specific protein,True,False
CERT1,Col4A3BP,Atypical,Col4A3BP,,Q9Y5P4,10087,CERT COL4A3BP STARD11,Collagen type IV alpha-3-binding protein,True,False
FASTK,FASTK,Atypical,FAST,,Q14296,10922,,Fas-activated serine/threonine kinase,True,False
WHR1,G11,Atypical,G11,,P49842,8859,G11 RP1 STK19 TWH19,Serine/threonine-protein kinase 19,True,False
GTF2F1,GTF2F1,Atypical,GTF2F1,,Q6IBK5,2962,,,True,False
BCKDK,BCKDK,Atypical,PDHK,,O14874,10295,,[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase,True,False
PDK1,PDHK1,Atypical,PDHK,,Q15118,5163,PDHK1,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 1,True,False
