Symbol,Manning_Name,Group,Family,SubFamily,UniProtID,Entrez,Synonyms,Kinase_Name,found,needs_denovo_design
AATK,LMR1,TK,Lmr,,Q6ZMQ8,9625,AATYK KIAA0641 LMR1 LMTK1,Serine/threonine-protein kinase LMTK1,True,False
LMTK2,LMR2,TK,Lmr,,Q8IWU2,22853,AATYK2 BREK KIAA1079 KPI2 LMR2,Serine/threonine-protein kinase LMTK2,True,False
LMTK3,LMR3,TK,Lmr,,Q96Q04,114783,KIAA1883 TYKLM3,Serine/threonine-protein kinase LMTK3,True,False
MET,MET,TK,Met,,P08581,4233,,Hepatocyte growth factor receptor,True,False
MST1R,RON,TK,Met,,Q04912,4486,PTK8 RON,Macrophage-stimulating protein receptor,True,False
MUSK,MUSK,TK,Musk,,O15146,4593,,Muscle,True,False
CSF1R,FMS,TK,PDGFR,,P07333,1436,FMS,Macrophage colony-stimulating factor 1 receptor,True,False
FLT3,FLT3,TK,PDGFR,,P36888,2322,CD135 FLK2 STK1,Receptor-type tyrosine-protein kinase FLT3,True,False
KIT,KIT,TK,PDGFR,,P10721,3815,SCFR,Mast/stem cell growth factor receptor Kit,True,False
PDGFRA,PDGFRa,TK,PDGFR,,P16234,5156,PDGFR2 RHEPDGFRA,Platelet-derived growth factor receptor alpha,True,False
PDGFRB,PDGFRb,TK,PDGFR,,P09619,5159,PDGFR PDGFR1,Platelet-derived growth factor receptor beta,True,False
RET,RET,TK,Ret,,P07949,5979,CDHF12 CDHR16 PTC,Proto-oncogene tyrosine-protein kinase receptor Ret,True,False
ROR1,ROR1,TK,Ror,,Q01973,4919,NTRKR1,Tyrosine-protein kinase transmembrane receptor ROR1,True,False
ROR2,ROR2,TK,Ror,,Q01974,4920,NTRKR2,Tyrosine-protein kinase transmembrane receptor ROR2,True,False
RYK,RYK,TK,Ryk,,P34925,6259,JTK5A,Tyrosine-protein kinase RYK,True,False
ROS1,ROS,TK,Sev,,P08922,6098,MCF3 ROS,Proto-oncogene tyrosine-protein kinase ROS,True,False
BLK,BLK,TK,Src,,P51451,640,,Tyrosine-protein kinase Blk,True,False
FGR,FGR,TK,Src,,P09769,2268,SRC2,Tyrosine-protein kinase Fgr,True,False
FRK,FRK,TK,Src,,P42685,2444,PTK5 RAK,Tyrosine-protein kinase FRK,True,False
FYN,FYN,TK,Src,,P06241,2534,,Tyrosine-protein kinase Fyn,True,False
HCK,HCK,TK,Src,,P08631,3055,,Tyrosine-protein kinase HCK,True,False
LCK,LCK,TK,Src,,P06239,3932,,Tyrosine-protein kinase Lck,True,False
LYN,LYN,TK,Src,,P07948,4067,JTK8,Tyrosine-protein kinase Lyn,True,False
PTK6,BRK,TK,Src,,Q13882,5753,BRK,Protein-tyrosine kinase 6,True,False
SRC,SRC,TK,Src,,P12931,6714,SRC1,Proto-oncogene tyrosine-protein kinase Src,True,False
SRMS,SRM,TK,Src,,Q9H3Y6,6725,C20orf148,Tyrosine-protein kinase Srms,True,False
YES1,YES,TK,Src,,P07947,7525,YES,Tyrosine-protein kinase Yes,True,False
SYK,SYK,TK,Syk,,P43405,6850,,Tyrosine-protein kinase SYK,True,False
ZAP70,ZAP70,TK,Syk,,P43403,7535,SRK,Tyrosine-protein kinase ZAP-70,True,False
STYK1,SuRTK106,TK,TK-Unique,,Q6J9G0,55359,NOK,Tyrosine-protein kinase STYK1,True,False
BMX,BMX,TK,Tec,,P51813,660,,Cytoplasmic tyrosine-protein kinase BMX,True,False
BTK,BTK,TK,Tec,,Q06187,695,AGMX1 ATK BPK,Tyrosine-protein kinase BTK,True,False
ITK,ITK,TK,Tec,,Q08881,3702,EMT LYK,Tyrosine-protein kinase ITK/TSK,True,False
TEC,TEC,TK,Tec,,P42680,7006,PSCTK4,Tyrosine-protein kinase Tec,True,False
TXK,TXK,TK,Tec,,P42681,7294,PTK4 RLK,Tyrosine-protein kinase TXK,True,False
TEK,TIE2,TK,Tie,,Q02763,7010,TIE2 VMCM VMCM1,Angiopoietin-1 receptor,True,False
TIE1,TIE1,TK,Tie,,P35590,7075,TIE,Tyrosine-protein kinase receptor Tie-1,True,False
NTRK1,TRKA,TK,Trk,,P04629,4914,MTC TRK TRKA,High affinity nerve growth factor receptor,True,False
NTRK2,TRKB,TK,Trk,,Q16620,4915,TRKB,BDNF/NT-3 growth factors receptor,True,False
NTRK3,TRKC,TK,Trk,,Q16288,4916,TRKC,NT-3 growth factor receptor,True,False
FLT1,FLT1,TK,VEGFR,,P17948,2321,FLT FRT VEGFR1,Vascular endothelial growth factor receptor 1,True,False
FLT4,FLT4,TK,VEGFR,,P35916,2324,VEGFR3,Vascular endothelial growth factor receptor 3,True,False
KDR,KDR,TK,VEGFR,,P35968,3791,FLK1 VEGFR2,Vascular endothelial growth factor receptor 2,True,False
IRAK1,IRAK1,TKL,IRAK,,P51617,3654,IRAK,Interleukin-1 receptor-associated kinase 1,True,False
IRAK2,IRAK2,TKL,IRAK,,O43187,3656,,Interleukin-1 receptor-associated kinase-like 2,True,False
IRAK3,IRAK3,TKL,IRAK,,Q9Y616,11213,,Interleukin-1 receptor-associated kinase 3,True,False
IRAK4,IRAK4,TKL,IRAK,,Q9NWZ3,51135,,Interleukin-1 receptor-associated kinase 4,True,False
LIMK1,LIMK1,TKL,LISK,LIMK,P53667,3984,LIMK,LIM domain kinase 1,True,False
LIMK2,LIMK2,TKL,LISK,LIMK,P53671,3985,,LIM domain kinase 2,True,False
TESK1,TESK1,TKL,LISK,TESK,Q15569,7016,,Dual specificity testis-specific protein kinase 1,True,False
TESK2,TESK2,TKL,LISK,TESK,Q96S53,10420,,Dual-specificity testis-specific protein kinase 2,True,False
LRRK1,LRRK1,TKL,LRRK,,Q38SD2,79705,KIAA1790,Leucine-rich repeat serine/threonine-protein kinase 1,True,False
LRRK2,LRRK2,TKL,LRRK,,Q5S007,120892,PARK8,Leucine-rich repeat serine/threonine-protein kinase 2,True,False
ILK,ILK,TKL,MLK,ILK,Q13418,3611,ILK1 ILK2,Integrin-linked protein kinase,True,False
MAP3K10,MLK2,TKL,MLK,MLK,Q02779,4294,MLK2 MST,Mitogen-activated protein kinase kinase kinase 10,True,False
MAP3K11,MLK3,TKL,MLK,MLK,Q16584,4296,MLK3 PTK1 SPRK,Mitogen-activated protein kinase kinase kinase 11,True,False
MAP3K12,DLK,TKL,MLK,LZK,Q12852,7786,ZPK,Mitogen-activated protein kinase kinase kinase 12,True,False
MAP3K13,LZK,TKL,MLK,LZK,O43283,9175,LZK,Mitogen-activated protein kinase kinase kinase 13,True,False
MAP3K20,ZAK,TKL,MLK,ZAK,Q9NYL2,51776,MLK7 MLTK ZAK,Mitogen-activated protein kinase kinase kinase MLT,True,False
MAP3K21,MLK4,TKL,MLK,MLK,Q5TCX8,84451,KIAA1804 MLK4,Mitogen-activated protein kinase kinase kinase MLK4,True,False
MAP3K7,TAK1,TKL,MLK,TAK1,O43318,6885,TAK1,Mitogen-activated protein kinase kinase kinase 7,True,False
MAP3K9,MLK1,TKL,MLK,MLK,P80192,4293,MLK1 PRKE1,Mitogen-activated protein kinase kinase kinase 9,True,False
TNNI3K,HH498,TKL,MLK,HH498,Q59H18,100526835,CARK,Serine/threonine-protein kinase TNNI3K,True,False
ARAF,ARAF,TKL,RAF,,P10398,369,ARAF1 PKS PKS2,Serine/threonine-protein kinase A-Raf,True,False
BRAF,BRAF,TKL,RAF,,P15056,673,BRAF1 RAFB1,Serine/threonine-protein kinase B-raf,True,False
KSR1,KSR1,TKL,RAF,KSR,Q8IVT5,8844,KSR,Kinase suppressor of Ras 1,True,False
KSR2,KSR2,TKL,RAF,,Q6VAB6,283455,,Kinase suppressor of Ras 2,True,False
RAF1,RAF1,TKL,RAF,,P04049,5894,RAF,RAF proto-oncogene serine/threonine-protein kinase,True,False
ANKK1,SgK288,TKL,RIPK,,Q8NFD2,255239,PKK2 SGK288,Ankyrin repeat and protein kinase domain-containing protein 1,True,False
RIPK1,RIPK1,TKL,RIPK,,Q13546,8737,RIP RIP1,Receptor-interacting serine/threonine-protein kinase 1,True,False
RIPK2,RIPK2,TKL,RIPK,,O43353,8767,CARDIAK RICK RIP2,Receptor-interacting serine/threonine-protein kinase 2,True,False
RIPK3,RIPK3,TKL,RIPK,,Q9Y572,11035,RIP3,Receptor-interacting serine/threonine-protein kinase 3,True,False
RIPK4,ANKRD3,TKL,RIPK,,P57078,,ANKRD3 DIK,Receptor-interacting serine/threonine-protein kinase 4,True,False
ACVR1,ALK2,TKL,STKR,STKR1,Q04771,90,ACVRLK2,Activin receptor type-1,True,False
ACVR1B,ALK4,TKL,STKR,STKR1,P36896,91,ACVRLK4 ALK4,Activin receptor type-1B,True,False
ACVR1C,ALK7,TKL,STKR,STKR1,Q8NER5,130399,ALK7,Activin receptor type-1C,True,False
ACVR2A,ACTR2,TKL,STKR,STKR2,P27037,92,ACVR2,Activin receptor type-2A,True,False
ACVR2B,ACTR2B,TKL,STKR,STKR2,Q13705,93,,Activin receptor type-2B,True,False
ACVRL1,ALK1,TKL,STKR,STKR1,P37023,94,ACVRLK1 ALK1,Serine/threonine-protein kinase receptor R3,True,False
AMHR2,MISR2,TKL,STKR,STKR2,Q16671,269,AMHR MISR2,Anti-Muellerian hormone type-2 receptor,True,False
BMPR1A,BMPR1A,TKL,STKR,STKR1,P36894,657,ACVRLK3 ALK3,Bone morphogenetic protein receptor type-1A,True,False
BMPR1B,BMPR1B,TKL,STKR,STKR1,O00238,658,,Bone morphogenetic protein receptor type-1B,True,False
BMPR2,BMPR2,TKL,STKR,STKR2,Q13873,659,PPH1,Bone morphogenetic protein receptor type-2,True,False
TGFBR1,TGFbR1,TKL,STKR,STKR1,P36897,7046,ALK5 SKR4,TGF-beta receptor type-1,True,False
TGFBR2,TGFbR2,TKL,STKR,STKR2,P37173,7048,,TGF-beta receptor type-2,True,False
MLKL,MLKL,TKL,TKL-Unique,,Q8NB16,197259,,Mixed lineage kinase domain-like protein,True,False
